Age,Gender,Weight_kg,Height_m,Workout_time,Calories_Burned,Type,Fat_Percentage,Frequency,Level,BMI
56,Male,88.3,1.71,1.69,1313.0,Yoga,12.6,4,Advanced,30.2
46,Female,74.9,1.53,1.3,883.0,HIIT,33.9,4,Intermediate,32.0
32,Female,68.1,1.66,1.11,677.0,Cardio,33.4,4,Intermediate,24.71
25,Male,53.2,1.7,0.59,532.0,Strength,28.8,3,Beginner,18.41
38,Male,46.1,1.79,0.64,556.0,Strength,29.2,3,Beginner,14.39
56,Female,58.0,1.68,1.59,1116.0,HIIT,15.5,5,Advanced,20.55
36,Male,70.3,1.72,1.49,1385.0,Cardio,21.3,3,Intermediate,23.76
40,Female,69.7,1.51,1.27,895.0,Cardio,30.6,3,Intermediate,30.57
28,Male,121.7,1.94,1.03,719.0,Strength,28.9,4,Intermediate,32.34
28,Male,101.8,1.84,1.08,808.0,Cardio,29.7,3,Beginner,30.07
41,Male,120.8,1.67,0.82,593.0,HIIT,20.5,2,Beginner,43.31
53,Male,51.7,1.7,1.15,865.0,HIIT,23.6,3,Intermediate,17.89
57,Male,112.5,1.61,1.24,1013.0,Cardio,22.1,3,Intermediate,43.4
41,Male,94.5,2.0,1.18,794.0,HIIT,27.6,3,Beginner,23.62
20,Male,117.7,1.81,1.35,1195.0,Yoga,26.4,3,Intermediate,35.93
39,Female,42.5,1.75,1.13,740.0,Strength,26.2,2,Beginner,13.88
19,Female,64.0,1.53,1.33,1111.0,HIIT,29.8,3,Intermediate,27.34
41,Female,43.8,1.77,1.19,884.0,Cardio,31.9,3,Beginner,13.98
47,Female,66.8,1.75,1.13,742.0,Strength,32.8,3,Intermediate,21.81
55,Female,75.2,1.67,1.37,1030.0,HIIT,25.2,2,Beginner,26.96
19,Male,89.0,1.77,1.5,1048.0,Strength,28.9,4,Intermediate,28.41
38,Male,71.9,1.77,1.12,875.0,Cardio,25.7,2,Beginner,22.95
50,Female,71.0,1.68,1.17,848.0,Yoga,33.1,2,Beginner,25.16
29,Male,120.9,1.78,0.78,721.0,Yoga,28.1,2,Beginner,38.16
39,Female,64.3,1.69,1.25,925.0,HIIT,26.9,4,Intermediate,22.51
42,Female,63.7,1.71,1.42,1080.0,Yoga,26.1,3,Intermediate,21.78
44,Male,65.2,1.8,0.73,502.0,HIIT,27.2,2,Beginner,20.12
59,Male,53.9,1.75,1.48,989.0,Strength,21.6,4,Intermediate,17.6
45,Male,84.9,1.86,1.64,1104.0,HIIT,14.2,5,Advanced,24.54
33,Female,78.0,1.68,1.29,871.0,HIIT,32.3,3,Intermediate,27.64
32,Male,108.2,1.8,1.27,964.0,HIIT,28.4,3,Beginner,33.4
20,Female,65.4,1.52,1.03,654.0,Yoga,28.0,4,Intermediate,28.31
54,Female,50.2,1.61,1.48,1046.0,HIIT,28.2,2,Beginner,19.37
24,Female,58.9,1.51,1.04,816.0,Cardio,31.7,2,Beginner,25.83
38,Male,81.4,1.71,1.52,1237.0,HIIT,10.2,5,Advanced,27.84
26,Male,127.6,1.73,1.32,1162.0,Strength,27.3,3,Beginner,42.63
56,Female,59.3,1.56,1.26,879.0,Cardio,33.4,4,Intermediate,24.37
35,Male,96.9,1.71,1.34,1069.0,Strength,24.2,3,Intermediate,33.14
21,Male,62.6,1.81,1.3,1072.0,Strength,27.6,4,Intermediate,19.11
42,Male,45.5,1.6,1.31,1057.0,Strength,21.7,3,Intermediate,17.77
31,Female,48.8,1.51,1.48,969.0,Cardio,28.2,2,Beginner,21.4
26,Female,44.3,1.6,1.08,734.0,Cardio,34.7,3,Beginner,17.3
43,Male,113.2,1.83,1.45,962.0,Yoga,29.9,4,Intermediate,33.8
19,Female,60.5,1.59,1.14,730.0,Cardio,30.1,2,Beginner,23.93
37,Male,124.2,1.76,1.5,1304.0,HIIT,29.3,2,Beginner,40.1
45,Male,52.4,1.85,1.2,956.0,Strength,25.2,3,Beginner,15.31
24,Male,54.7,1.74,0.84,772.0,Yoga,22.9,3,Beginner,18.07
25,Male,88.1,1.95,1.41,1016.0,Cardio,22.7,2,Beginner,23.17
52,Female,59.7,1.71,1.23,836.0,Strength,34.3,3,Beginner,20.42
31,Female,79.7,1.54,1.03,742.0,Cardio,26.7,4,Intermediate,33.61
34,Female,51.0,1.62,1.42,1122.0,Yoga,30.8,3,Intermediate,19.43
53,Male,84.2,1.76,1.67,1133.0,Cardio,12.8,5,Advanced,27.18
57,Male,122.1,1.89,1.13,750.0,Cardio,27.4,3,Beginner,34.18
21,Male,96.7,1.72,1.26,1046.0,Strength,25.0,3,Beginner,32.69
19,Female,73.0,1.79,0.81,506.0,HIIT,27.7,3,Beginner,22.78
23,Male,114.8,1.6,1.47,1318.0,Cardio,21.7,4,Intermediate,44.84
59,Female,65.5,1.52,1.4,1021.0,Yoga,31.2,3,Intermediate,28.35
21,Female,50.3,1.52,1.08,832.0,Cardio,32.2,3,Beginner,21.77
46,Female,61.0,1.71,1.67,1150.0,Cardio,17.8,4,Advanced,20.86
35,Female,44.6,1.62,0.56,440.0,HIIT,32.4,2,Beginner,16.99
43,Female,58.2,1.61,1.04,580.0,Strength,26.4,3,Intermediate,22.45
51,Female,44.8,1.63,1.08,666.0,Yoga,33.8,4,Intermediate,16.86
27,Male,87.5,1.63,1.75,1299.0,Strength,12.9,5,Advanced,32.93
53,Male,51.8,1.74,1.23,773.0,Strength,21.3,3,Intermediate,17.11
31,Female,64.4,1.7,1.97,1418.0,Strength,17.3,5,Advanced,22.28
48,Female,67.1,1.61,0.62,421.0,Cardio,33.4,2,Beginner,25.89
32,Male,85.9,1.6,1.99,1587.0,HIIT,14.5,5,Advanced,33.55
25,Female,65.4,1.77,0.89,627.0,Cardio,27.6,3,Beginner,20.88
31,Female,61.1,1.76,1.81,1358.0,Yoga,18.6,4,Advanced,19.72
40,Male,106.5,1.65,1.32,1176.0,HIIT,21.0,4,Intermediate,39.12
57,Female,64.0,1.52,1.73,1004.0,Strength,15.2,5,Advanced,27.7
38,Female,61.4,1.54,1.47,963.0,HIIT,30.6,3,Intermediate,25.89
33,Female,40.5,1.63,1.07,786.0,Yoga,31.9,4,Intermediate,15.24
35,Male,70.1,1.79,1.08,743.0,Cardio,28.0,3,Intermediate,21.88
41,Male,94.1,1.62,1.13,777.0,Cardio,23.4,4,Intermediate,35.86
43,Male,55.5,1.82,1.08,663.0,Strength,20.1,3,Beginner,16.76
